TCK	SDE	TRT	SYM	MKT	PRC	DTP	SIZ	VAL	BRK	MBR	ACC	ACT	GRP	ORD	UID	BNK	BKA	STD	DIN	FST	CLT	GRS	FAL	ALD	EXT	STY	REF	STS	SSL	OTK	CLC	LQI	IAC	ORF	TAC	TDV	ETK	TTY	CYL	OSQ	NEG	ALG
16844290	1	2018-11-07 11:26:46.208	SIF4	REGS	0.610000	0.610000	8000	4880.000000	K8	K8	4848008	1	0	39544188	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032931		4848008	XBSE		REG	0	248004972	A	N
16844291	1	2018-11-07 11:26:55.776	SIF5	REGS	2.150000	2.150000	10	21.500000	K8	K8	4848008	1	0	39543008	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	2	1028733		4848008	XBSE		REG	0	248004987	A	N
16844299	1	2018-11-07 11:28:10.12	SIF4	REGS	0.610000	0.610000	400	244.000000	K8	K8	4848008	1	0	39544225	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032913		4848008	XBSE		REG	0	248005194	A	N
16844317	2	2018-11-07 11:30:48.195	IARV	REGS	7.400000	7.400000	200	1480.000000	K8	K8	4848008	1	0	39544163	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	3105		4848008	XBSE		REG	0	248006511	A	N
16844322	2	2018-11-07 11:32:52.67	IARV	REGS	7.400000	7.400000	30	222.000000	K8	K8	4848008	1	0	39544163	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	3105		4848008	XBSE		REG	0	248007608	A	N
16844336	2	2018-11-07 11:36:45.268	IARV	REGS	7.440000	7.440000	30	223.200000	K8	K8	4848008	1	0	39544570	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	3105		4848008	XBSE		REG	0	248010172	A	N
16844340	2	2018-11-07 11:37:48.565	IARV	REGS	7.440000	7.440000	50	372.000000	K8	K8	4848008	1	0	39544570	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	3105		4848008	XBSE		REG	0	248010975	A	N
16844342	2	2018-11-07 11:38:33.966	IARV	REGS	7.440000	7.440000	20	148.800000	K8	K8	4848008	1	0	39544570	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	3105		4848008	XBSE		REG	0	248011428	A	N
16844390	2	2018-11-07 11:44:44.985	IARV	REGS	7.500000	7.500000	750	5625.000000	K8	K8	4848008	1	0	39213476	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1003757		4848008	XBSE		REG	0	248014978	A	N
16844391	2	2018-11-07 11:44:44.986	IARV	REGS	7.500000	7.500000	500	3750.000000	K8	K8	4848008	1	0	39331595	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	3105		4848008	XBSE		REG	0	248014980	A	N
16844398	2	2018-11-07 11:45:46.72	IARV	REGS	7.540000	7.540000	20	150.800000	K8	K8	4848008	1	0	39544669	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	2	3105		4848008	XBSE		REG	0	248015443	A	N
16844399	1	2018-11-07 11:46:24.427	ALU	REGS	0.735000	0.735000	71	52.185000	K8	K8	4848008	1	0	39544677	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032654		4848008	XBSE		REG	0	248015645	A	N
16844403	2	2018-11-07 11:47:47.568	IARV	REGS	7.540000	7.540000	80	603.200000	K8	K8	4848008	1	0	39544669	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	3105		4848008	XBSE		REG	0	248016364	A	N
16844405	2	2018-11-07 11:47:47.572	IARV	REGS	7.560000	7.560000	128	967.680000	K8	K8	4848008	1	0	39544665	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032062		4848008	XBSE		REG	0	248016368	A	N
16844417	1	2018-11-07 11:50:16.196	EBDAXTS63	RGSP	69.400000	69.400000	10	694.000000	K8	K8	4848008	1	0	39544709	UK8GW3			20181109	0	0	0	0	0	0	0	STR-PRD		1	0	0	RON	2	1240		4848008	XBSE		REG	0	248018179	A	Y
16844483	2	2018-11-07 12:05:03.997	SNP	REGS	0.395500	0.395500	2000	791.000000	K8	K8	4848008	1	0	38968957	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	208		4848008	XBSE		REG	0	248027841	A	N
16844521	1	2018-11-07 12:11:30.232	SIF5	REGS	2.140000	2.140000	1000	2140.000000	K8	K8	4848008	1	0	39544879	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1031082		4848008	XBSE		REG	0	248031979	A	N
