SYM	MKT	EFD	VAL	VAD	VOL	TRD	OPN	CLS	AVG	LOW	HIG	CLA	CLP	CAA	CAP	UTI	ISI	RPR	RPT	PMK	CRF
SIF1	SOUT	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.503	ROSIFAACNOR2	2.470000	2	0	2.430000
SIF2	BUY-IN	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.662	ROSIFBACNOR0	1.282000	2	0	1.292000
SIF2	DEALS	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.771	ROSIFBACNOR0	1.282000	2	0	1.292000
SIF2	POF	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.479	ROSIFBACNOR0	1.282000	2	0	1.292000
SIF2	POFSV	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.616	ROSIFBACNOR0	1.282000	2	0	1.292000
SIF2	REGS	20181108	291233.452000	291233.452000	230354	46	1.262000	1.292000	1.264000	1.260000	1.292000	0.010000	0.780000	-0.018000	-1.400000	2018-11-08 17:47:39.538	ROSIFBACNOR0	1.282000	2	1	1.292000
SIF2	SOUT	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.491	ROSIFBACNOR0	1.282000	2	0	1.292000
SIF3	BUY-IN	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.659	ROSIFCACNOR8	0.201000	2	0	0.200500
SIF3	DEALS	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.792	ROSIFCACNOR8	0.201000	2	0	0.200500
SIF3	POFSV	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.625	ROSIFCACNOR8	0.201000	2	0	0.200500
SIF3	REGS	20181108	21829.656000	21829.656000	108757	48	0.200500	0.200500	0.200500	0.199600	0.204000	-0.000500	-0.250000	-0.000500	-0.250000	2018-11-08 17:45:18.146	ROSIFCACNOR8	0.201000	2	1	0.200500
SIF3	SOUT	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.515	ROSIFCACNOR8	0.201000	2	0	0.200500
SIF4	BUY-IN	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.668	ROSIFDACNOR6	0.602000	2	0	0.600000
SIF4	DEALS	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.814	ROSIFDACNOR6	0.602000	2	0	0.600000
SIF4	REGS	20181108	69244.842000	69244.842000	115281	64	0.604000	0.600000	0.600000	0.600000	0.608000	-0.002000	-0.330000	-0.002000	-0.330000	2018-11-08 17:59:29.853	ROSIFDACNOR6	0.602000	2	1	0.600000
SIF5	BUY-IN	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.664	ROSIFEACNOR4	2.130000	2	0	2.130000
SIF5	DEALS	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.835	ROSIFEACNOR4	2.130000	2	0	2.130000
SIF5	REGS	20181108	193444.455000	193444.455000	91437	58	2.120000	2.130000	2.115000	2.105000	2.150000	0.000000	0.000000	-0.015000	-0.700000	2018-11-08 17:57:43.628	ROSIFEACNOR4	2.130000	2	1	2.130000
SIF5	SOUT	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.485	ROSIFEACNOR4	2.130000	2	0	2.130000
SIFI	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.068	CY0104062217	90.000000	1	0	90.000000
SIFI	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.946	CY0104062217	90.000000	1	1	90.000000
SIGS	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.169	ROSIGSACNOR2	0.220000	1	0	0.220000
SIGS	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.368	ROSIGSACNOR2	0.220000	1	1	0.220000
SIMI	POFAV	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.558	ROSIMIACNOR1	4.520000	1	0	4.520000
SIMI	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.071	ROSIMIACNOR1	4.520000	1	0	4.520000
